name,ascencion_document_number,ascencion_document_date,ascencion_year,photo_url,birth_date,birth_place,death_date,death_place,burial_place,description
Mayjen. TNI. Anm. D.I. Panjaitan ,No Sk 111 / Koti / 1965,05   Oktober  1965,1965,https://direktoratk2krs.kemsos.go.id/admin-pc/assets/img/pahlawan/41.jpg,19 Juni 1925,"Balige, Sumatra Utara",1 Oktober 1965,"LubangBuaya, Jakarta",TMPN Utama  Kalibata,"Jenderal Angkatan Darat, Asisten IV Menteri/Panglima Angkatan Darat, korban kebiadaban (dibunuh) Gerakan 30 September.Merupakan anggita Gyugun (PETA regional) dan ditempatkan di Pekanbaru. Setelah Jepang menyerah pada Sekutu, Pandjaitan berusaha kembali mengumpulkan anggota- anggota gyugun. Ia juga mengadakan kontak dengan pemuda-pemuda lain, baik yang sudah mendapatkan pendidikan militer maupun belum. Mereka membentuk organisasi yang disebut PRI (Pemuda Republik Indonesia) PRI inilah yang dalam bulan Desember menjelma menjadi TKR (Tentara Keamanan Rakyat).Beberapa hari setelah Belanda melancarkan agresi, di Sumatra Barat dibentuk PDRI (Pemerintah Darurat Republik Indonesia) dibawah pimpinan Syafruddin Prawiranegara SH. Maka, pada tanggal 15 Januari 1949 Pandjaitan diangkat menjadi pimpinan Pusat perbekalan PDRI disamping jabatanya sebagai Kepala Staf IX Tentara dan Teritorial Sumatra.Karena prestasinya dianggap baik, Letnan Kolonel Panjaitan ditunjuk sebagai Atase Militer RI di Bonn, Jerman Barat."
Mayjen. TNI.Anm. S. Siswomihardjo ,No Sk 111 / Koti / 1965,05   Oktober  1965,1965,https://direktoratk2krs.kemsos.go.id/admin-pc/assets/img/pahlawan/42.jpg,28 Agustus 1922,"Kebumen, Jawa Tengah",1 Oktober 1965,"LubangBuaya, Jakarta",TMPN Utama  Kalibata,"Sutoyo Siswomiharjo merupakan pahlawan anumerta yang meninggal akibat keganasan PKI Gerakan 30 September PKI 1965.Sutoyo Siswomiharjo pada masa revolusi bergabung dengan Badan Keamanan Rakyat (BKR) yang kemudian berubah menjadi TKR (Tentara Keamanan Rakyat) terbentuk pada tanggal 5 Oktober 1945. Ia memilih TKR bagian Polisi Tentara dengan pangkat Letnan dua. Pada  November  1946, ia menjadi  Kepala Bagian Organisasi Polisi Tentara Resimen 2 Purworejo.   Kemudian dipindah ke Yogyakarta   sebagai Kepala Staf CPM (Corps Polisi Militer), nama baru Polisi Tentara.   Ia dipindahkan ke Sala untuk memangku jabatan sebagai Komandan CPM Detasemen 3 Surakarta.Pada tahun 1950  Ibu Kota pindah ke Jakarta, Sutoyo Siswomiharjo menjabat sebagai Komandan Batalyon CPM di Jakarta. Operasi inteljen CPM yang dipimpin nya berhasil membongkar rencana APRA yang akan menculik beberapa menteri.Sutoyo Siswomiharjo pada  1954  menjadi Kepala Staf Markas Besar CPM dengan pangkat Mayor dan pada tahun yang sama ia diangkat menjadi perwira yang diperbantukan pada   Staf Umum Angkatan Darat.Sutoyo Siswomiharjo pada  18 Desember 1960 diangkat sebagai  Inspektur Kehakiman Angkatan Darat (Irkeh AD) dengan pangkat Kolonel. Dengan jabatan itu ia menjadi perwira yang di sasar PKI untuk dibunuh pada peristiwa Gerakan 30 September 1965."
Kapten CZI. Anm. Pierre Tendean ,No Sk 111 / Koti / 1965,05   Oktober  1965,1965,https://direktoratk2krs.kemsos.go.id/admin-pc/assets/img/pahlawan/43.jpg,21 Februari 1939,"Batavia(Jakarta, Indonesia)",1 Oktober 1965,"LubangBuaya, Jakarta, Indonesia",TMPN Utama  Kalibata,"Pierre Andries Tendean adalah seorang perwira militer Indonesiayang menjadi salah satu korban peristiwa Gerakan 30 September pada tahun 1965. Pierre Tendean merupakan ajudan Jenderal Abdul Haris  Nasution.Pada tahun 1963, saat pemerintah menerapkan politik konfrontasi dengan Malaysia ia diperbantukan pada Dinas Pusat Intelijen Angkatan Darat yang bertugas di garis depan.Dua tahun lamanya Pierre Tendean ditempatkan di garis depan dan selama masa itu tiga kali Ia melakukan penyusupan ke daerah Malaysia. Pertama kali Ia memasuki daerah Malaysia dengan menyamar sebagai wisatawan.Dalam penyusupan ketiga, ditengah laut Ia dikejar oleh kapal perusak (destroyer) Inggris. Dengan cepat Ia membelokkan speedboat-nyadan secara diam-diam Ia menyelam ke dalam laut.Karena kelincahannya dalam menjalankan tugas, Pierre Tendean menjadi rebutan beberapa perwira tinggi yang berniat untuk mengangkatnya sebagai ajudan. Jenderal Abdul Haris Nasution, Jenderal Hartawan dan Jenderal Dandi Kadarsan, adalah tiga diantara perwira tinggi tersebut.Dalam menjalankan tugas sebagai ajudan inilah Letnan satu Pierre Tendean gugur karena dibunuh oleh orang-orang PKI yang melakukan pemberontakan untuk merebut kekuasaan negara."
AIP. TK. II Brig.Pol. K.S. Tubun ,No Sk 114 / Koti /1965,05   Oktober  1965,1965,https://direktoratk2krs.kemsos.go.id/admin-pc/assets/img/pahlawan/44.jpg,14 Oktober 1928,"Tual, Maluku,Indonesia",1 Oktober 1965,"Jakarta,Indonesia",TMPN Utama  Kalibata,"Brigadir Polisi. Korban kebiadaban (dibunuh) Gerakan 30 September saat mengawal kediaman Wakil Perdana Menteri, Dr. J. Leimena di Jakarta, yang bertetangga dengan Jenderal A.H. Nasution,KS Tubun masuk Sekolah Polisi Negara di Ambon sejak Agustus 1951. Beliau kemudian dipindahkan ke Jakarta dan ditempatkan dalam kesatuan Brimob,Pada tahun 1955 KS Tubun mengikuti pasukannya yang mendapat tugas melakukan operasii militer terhadap DI/TII di daerah Aceh selama tiga bulan dan pada tahun 1958 juga melakukan operasi militer di daerah Sulawesi Utara bersama pasukannya untuk menumpas pemberontakan PRRI/Permesta. Ia juga ikut dalam tugas membebaskan Irian Barat setelah diumumkan Tri Komando Rakyat (Trikora) pada tanggal 19 Desember 1961,KS Tubun mendapat kehormatan menjadi anggota pasukan pengawal kediaman Wakil Perdana Menteri II Dr.J.Leimena. KS Tubun gugur dalam menjalankan tugasnya beberapa hari sebelum hari ulang tahunnya yang ke-37 dalam periistiwa Gerakan 30 September 1965."
Brigjen. TNI. Anm. Katamso ,No Sk 118 / Koti / 1965,19  Oktober  1965,1965,https://direktoratk2krs.kemsos.go.id/admin-pc/assets/img/pahlawan/45.jpg,5 Februari 1923,"Sragen, Jawa Tengah",1 Oktober 1965,"Kentungan,Yogyakarta","TMPN Kusuma Negara, Yogyakarta","Brigadir Jenderal TNI Angkatan Darat.  Dan Rem 072/ Pamungkas DIY. Brigjen. Katamso bersama Wakil Dan Rem 072 Kolonel Sugiyono menjadi korban kebiadaban (dianiaya dan dibunuh) oleh Gerakan 30 September di Kentungan, Yogyakarta,Setelah menamatkan sekolah, Katamso melanjutkan pendidikan tantara PETA di Bogor. Sesudah Proklamasi kemerdekaan ia mengikuti TKR, selama agresi militer Belanda, pasukannya sering bertemput untuk mengusir Belannda dari Indonesia. Setelah pengakuan kedaulatan ia diberi tugas untuk menumpas pemberontakan Batalyon 426 di Jawa Tengah,Katamso dipercaya untuk menjalankan operasi militer yaitu memipin Batalyon A Operasi 17 Agustus.Katamso melakukan bebagai persiapan menghadapi PKI salah satunya adalah pendekatan terhadap masyarakat Yogyakarta dan memperkuat Resimen Mahasiswa, namun Katamso menjadi salah satu korban yang tewas pada malam hari 2 Oktober 1965 bersama Letnan Kolonel Sugiyono."
Kol. Inf. TNI. Anm. Sugiono ,No Sk 118 / Koti / 1965,19  Oktober  1965,1965,https://direktoratk2krs.kemsos.go.id/admin-pc/assets/img/pahlawan/46.jpg,12 Agustus 1926,"Gedaren, Sumbergiri,Ponjong, Gunung Kidul, DI Yogyakarta",1 Oktober 1965,"Kentungan,Yogyakarta","TMPN Kusuma Negara, Yogyakarta","Kolonel Infanteri TNI Angkatan Darat. Wakil Dan Rem 072/ Pamungkas DIY. Kolonel Sugiyono bersama Dan Rem 072 Brigjen. Katamso menjadi korban kebiadaban (dianiaya dan dibunuh) oleh Gerakan 30 September PKI di Kentungan , Yogyakarta.Pada 1 Maret 1949, terjadi serangan umum terhadap Yogyakarta pada peristiwa serangan Agresi Militer Belanda ke-II. Ia turut serta dalam keberhasilan menghentikan Agresi Militer Belanda ke-II tersebut yang mampu merubah pandangan dunia Internasional terhadap kekuatan Republik IndonesiaKarena sering melakukan perlawanan terhadap PKI, maka Sugiyono dan Katamso diculik pada tanggal 1 Oktober 1965 dan dibunuh di daerah Keuntunga, Yogyakarta"
Sutan  Sjahrir ,No Sk 76  Tahun  1966,09 April 1966,1966,https://direktoratk2krs.kemsos.go.id/admin-pc/assets/img/pahlawan/47.jpg,5 Maret 1909,"Padang Panjang,Sumatera Barat",9 April 1966,"Zurich, Swiss",TMPN Utama  Kalibata,"Sosok yang gigih  berjuang melalui diplomasi untuk memperoleh pengakuan kedaulatan dan kemerdekaan dari bangsa-bangsa lainSyahrir pada 1927 menggagas Pendirian Himpunan Pemuda Nasionalis (1927), Jong Indonesie (Pemuda Indonesia) yang menjadi motor Konggres Pemuda Indonesia (1928) dan pada 1928, mendirikan  Volksuniversiteit. “Mimbar Rakyat“ yang memberikan kursus-kursus pemberantasan buta huruf, berhitung, bahasa asing (Inggris) dan kursus politik yang mengajarkan cita- cita kebangsaan serta menjadi Ketua Partai Nasional Indonesia (PNI Baru).Syahrir pada 14  November  1945  menjadi Perdana Menteri dengan berhasil melakukan perundingan dengan pihak Belanda melalui perundingan  Hoge Veluwe,  dan perundingan Linggarjati yang menghasilkan persetujuan Linggarjati pada 25 Maret 1946.Syahrir juga dilakukan di dunia Internasional, melalui  konferensi Asia (Inter Relation Asian Conference) di New Delhi, India pada 1947, Sjahrir membentangkan politik luar negeri Indonesia yang bebas dan aktif.Syahrir bersama H Agus Salim pada  1947,  memperjuangkan Indonesia di forum PBB sehingga permasalahan Indonesia menjadi agenda resmi DK PBB.Sjahrir berhasil menerobos blokade ekonomi Belanda dengan mengirimkan 50 ribu ton beras ke India untuk membantu India dan Indonesia memperoleh pakaian, obat-obatan dan alat pertanian"
Laks.Laut R.E. Martadinata ,No Sk 220  Tahun  1966,07  Oktober  1966,1966,https://direktoratk2krs.kemsos.go.id/admin-pc/assets/img/pahlawan/48.jpg,29 Maret 1921,"Bandung, Jawa Barat",6 Oktober 1966,"GunungRiung Gunung, Pangalengan, Indonesia",TMPN Utama  Kalibata,"Raden Eddy Martadinata merupakan tokoh Angkatan Laut Republik yang disegani.R.E Marthadinata mengawali karirnya dengan menjadi penerjemah di Balai Besar Kereta Api di Bandung dari April 1942 – Desember 1942. Setelah itu pada tahun 1943-1944, R.E Martadinata pernah juga menjadi seorang guru di SPT.Setelah menjalani berbagai macam profesi akhirnya R.E Martadinata mendapatkan kesempatan untuk menjadi nahkoda kapal 28 Sakura Naru (1944-1945). Kecintaannya kepada dunia kelautan mengantarkan R.E. Martadinata untuk masuk bergabung dengan ALRI (Angkatan Laut Republik Indonesia) pada bulan Agustus 1945.Pengalaman yang diperoleh dalam zaman Jepang banyak artinya bagi Martadinata dalam tugas-tugasnya sesudah kemerdekaan diproklamasikan. Ketika proklamasi kemerdekaan Indonesia berkumandang Martadinata ditugasi untuk menyebarkan berita proklamasi ke wilayah Lampung.Di masa presiden Soekarno ia diangkat sebagai Menteri/Panglima Angkatan Laut (1959 - 1966). Duta Besar  RI  untuk Pakistan.R.E Martadinata wafat dalam kecelakaan pesawat helikopter pada 1966."
Raden Dewi Sartika ,No Sk 252  Tahun  1966,07  Oktober  1966,1966,https://direktoratk2krs.kemsos.go.id/admin-pc/assets/img/pahlawan/49.jpg,4 Desember 1884,"Cicalengka, Bandung,Jawa Barat",11 September 1947,"Tasikmalaya, Jawa Barat","Astana Anyar, Bandung","Tokoh  perintis  pendidikan  untuk  kaum  wanita. Mendirikan Sekolah Pertama untuk Perempuan.Membuat tulisan berjudul ”De Inlandsche Vrouw” (Wanita Bumiputera). Ia mengemukakan bahwa pendidikan penting untuk mendapatkan kekuatan dan kesehatan kanak-kanak baik secara jasmani maupun rohani. Dalam tulisan itu menghendaki pula adanya persamaan hak antara laki-laki dan wanita. Untuk pekerjaan yang sama  dilakukan seorang wanita, harus diberi pendidikan.Mendapat penghargaan bintang perak dari pemerintah Hindia Belanda untuk Sekolah Keutamaan Isteri yang didirikannya.Sekolah Keutamaan Isteri berganti nama menjadi Sekolah Raden Dewi pada 1929. Kurikulum sekolah pun semakin bentambah, dari membaca, menulis, pelajaran agama, menjahit, menyetrika, memasak, membatik, hingga keperawatan orang sakit."
Prof. DR. W.Z. Johannes ,No Sk 06 / TK / 1968,27 Maret 1968,1968,https://direktoratk2krs.kemsos.go.id/admin-pc/assets/img/pahlawan/50.jpg,1895,"Termanu, Pulau Rote, Nusa Tenggara Timur,Indonesia.",4 September 1952,"DenHaag, Belanda",TMPN Utama  Kalibata,"Merupakan pahlawan pendidik dan pejuang Pergerakan Nasional, Ahli RontgenPertama Indonesia dan  merupakan Pelopor Medis Bidang Radiologi.Turut mendirikan Badan Persiapan Persatuan Kristen (BPPK), yang menjelma menjadi Partai Kristen Indonesia (Parkindo). Ketua Partai Kristen Nasional (PKN).Ia membentuk organisasi perjuangan, yakni Gerakan Rakyat Indonesia Sunda Kecil (GRISK) untuk mempertahankan Kemerdekaan RIPada tahun 1929 aktif dalam  ”Perserikatan  Kaum  Kristen”  (PKK).Prof. Dr. W.Z. Johannes   pada April 1952 berangkat keluar negeri selama lima bulan, dalam kondisi kurang sehat dan menderita penyakit jantung.  Di Negeri Belanda bertugas di Rumah Sakit Bronovo di Den Haag. Namun belumlama melaksanakan tugas, mendapat serangan jantung dengan mendadak,  ia menghembuskan nafasnya yang terakhir  pada 4 September 1952."
Pangeran Antasari ,No Sk 06 / TK / 1968,27 Maret 1968,1968,https://direktoratk2krs.kemsos.go.id/admin-pc/assets/img/pahlawan/51.jpg,1809,"Kayu Tangi, Kesultanan Banjar",11 Oktober 1862,"KampungBayan Begok, Sampirang, Barito Utara, KalimantanTengah","Jl. Malkon Temon, Banjarmasin","Sultan Banjar. Panembahan Amiruddin Khalifatul Mukminin, yaitu pemimpin pemerintahan, panglima perang dan pemuka agama tertinggi. Memimpin Kerajaan Banjar melawan Pasukan Belanda.Antasari adalah keturunan sah penguasa-penguasa Kesultanan Banjar abad XVIII namun ia dibesarkan di luar lingkungan istana. Kericuhan dan perebutan tahta yang terjadi membuat cicit dari Sultan Aminullah ini tersisih. Kakek dari Pangeran Antasari yaitu Pangeran Amir yang seharusnya jadi Sultan dijauhkan dari kekuasaan. Kemudian Pangeran Nata yang merupakan anak dari sultan-sultan sebelumnya menjadi Sultan dan mendapat bala bantuan dari Belanda.Awalnnya Pangeran Antasari diutus untuk menyelidiki gerakan-gerakan rakyat yang sedang bergejolak. Cita-cita pemberontakan rakyat sangat sesuai dengan Antasari, ia kemudian memperoleh kepercayaan rakyat dan dipilih sebagai pimpinan pemberontakan dan berhasil mengumpulkan 6000 laskar yang berhasil membuat Belanda bersiasat untuk mematahkan perlawanan rakyat, salah satu usahanya adalah menangkap Antasari.Setelah wafat karena wabah cacar, perjuangan Antasari dilanjutkan oleh rakyat Banjar dan anaknya Sultan Seman. Perjuangan rakyat Banjar Selma 46 tahun (1859-1905) sunguh telah menggoyahkan kedudukan Belanda."
Sersan II KKO. Anm. Janatin alias Osman ,No Sk 050 / TK / 1968,17  Oktober  1968,1968,https://direktoratk2krs.kemsos.go.id/admin-pc/assets/img/pahlawan/52.jpg,18 Maret 1943,"Dukuh Tawangsari, DesaJatisaba, Kecamatan Purbalingga, Kabupaten Purbalingga,Jawa Tengah",17 Oktober 1968,Singapura,TMPN Utama  Kalibata,"Pejuang pada masa Konfrontasi Indonesia dengan Malaysia. Gugur di Singapura.Djanatin berasal dari keluarga santri yang taat beragama, dan juga berasal dari keluarga pejuang bangsa yang gigih,Tri Komando Rakyat (TRIKORA) menjadi panggilan awal Djanatin memasuki dunia militer. Tahun 1962 Djanatin mengikuti pendidikan militer yang diadakan oleh Korps Komando Angkatan Laut (KKO-AL) Ri. Djanatin dipindahkan ke Batalyon III KKO-AL dan menjalankan “Operasi Sadar” di Irian Barat,Selama Konfrontasi Indonesia-Malaysia dan lahirlah “Dwikora”, Djanatin menjadi sukarelawan bersama Prako II Harun yang masuk dalam Tim Brahmana I dan kemudian bertemu dengan Gani Bin Arup untuk menjalankan operasi  militer di Singapura,Tanggal 9 Maret 1965, sabotase yang dilakukan mereka berhasil dilakukan, dikenal dengan peristiwa Macdonad House Bombing,Tanggal 13 Maret 1965 Djanatin dan Harun ditangkap, permohonan naik banding sampai permohonan grasi ditolak oleh Singapura, sehingga 17 Oktober 1968 Djanatin dan Harun mendapat hukuman mati."
Kopral KKO. Anm.  Harun ,No Sk 050 / TK / 1968,17  Oktober  1968,1968,https://direktoratk2krs.kemsos.go.id/admin-pc/assets/img/pahlawan/53.jpg,4 April 1947,"Pulau Bawean,Kabupaten Gresik, Jawa Timur",", 17 Oktober 1968",Singapura,TMPN Utama  Kalibata,"Harun bin Said alias Tahir dibesarkan di wilayah yang dikelilingi pantai membuat Harun sangat mencintai dan mengenal betul tentang laut. Dia bahkan sudah sering berlayar dengan cara menyelinap ke kapal-kapal yang berlabuh di pulaunyaSalah satu dari dua anggota KKO (Korps Komando Operasi; kini disebut Marinir) IndonesiaPejuang penegak revolusi Indonesia, dan juga pejuang pada masa Konfrontasi Indonesia dengan Malaysia.Memegang teguh sumpah prajurit hingga akhir hayatnya yang memperlihatkan ketinggian moril seorang prajurit yang dapat dicontoh oleh prajurit lainnya."
Jend. TNI. Basuki Rakhmat ,No Sk 01 / TK / 1969,9  Januari  1969,1969,https://direktoratk2krs.kemsos.go.id/admin-pc/assets/img/pahlawan/54.jpg,4 November 1921,"Tuban, Jawa Timur",8 Januari 1969,"Jakarta,Indonesia",TMPN Utama  Kalibata,"Perjuangannya sebagai pejuang di awali dengan bergabungnya di pendidikan prajurit (Renslitdi) ia diangkat sebagai Lecho (pembantu prajurit) batalion Jepang.Pada tahun 1944 ia masuk pendidikan calon Shodanco (komandan peleton) di Bogor dan kemudian diangkat sebagai  Shodanco dari Daidan (batalyon)Tentara PETA di Pacitan.Setelah PETA dibubarkan, mantan Shodanco Basoeki Rachmat berada di Maospati, Pemuda Basuki melatih pemuda-pemuda Badan Keamanan Rakyat (BKR) dan diangkat sebagai pimpinannya.Setelah terbentuknya Tentara Keamanan Rakyat (TKR) pada 5 Oktober 1945, Basoeki Rachmat membentuk batalyon TKR di Ngawi.Pada saat perjuangan pembebasan Irian Barat, Basuki Rachmat diangkat sebagai Panglima Komando Daerah Militer  VIII  (KODAM  VIII/Brawijaya).Pada tanggal 16 Oktober 1965 dengan pangkat Letnan Jenderal, Basoeki Rachmat ditunjuk sebagai Deputi Khusus (Desus) Pangad merangkap jabatan Pangdam VIII/ Brawijaya.Pada masa Soekarno Basoeki Rachmatberperan dalam lahirnya Surat Perintah Sebelas Maret (Supersemar). Pada masa Soeharto ia menduduki jabatan Mendagri."
Arie Frederik Lasut ,No Sk 012 / TK / 1969,20  Mei  1969,1969,https://direktoratk2krs.kemsos.go.id/admin-pc/assets/img/pahlawan/55.jpg,6 Juli 1918,"Kapataran, Lembean Timur, Minahasa, Sulawesi Utara",7 Mei 1949,"Pakem,Sleman, Yogyakarta","Mergangsan, Yogyakarta","Arie Frederick Lasut merupakan Kepala dan Pertambangan Geologi RI pertama. Semasa hidupnya ia banyak mencurahkan tenaga dan pikirannya untuk kemajuan RI. Ia telah memiliki sikap nasionalisme sewaktu kecil.Ketika Perang Dunia II pecah dan pasukan Jepang sudah hampir menyerang Hindia Belanda, Arie sempat bertempur melawan tentara Jepang di daerah Ciater, Jawa Barat.Pada zaman pendudukan Jepang, Arie kembali bekerja sebagai ahli pertambangan dan diangkat sebagai asisten geolog pada jawatan Geologi (Tititsutiyo Zaiyi) di Bandung.Ia benar-benar mengabdikan dirinya sebagai perintis dunia pertambangan. Banyak yang telah dikerjakannya. Ia menyelidiki endapan yarsit di daerah Ciater (Subang). Tambang belerang di Telagabodas, dan lainnyaSesudah Proklamasi Kemerdekaan, 17 Agustus 1945, Arie Frederik Lasut mendirikan barisan Kebaktian Rakyat Indonesia Sulawesi (KRIS) cabang BandungDalam usaha merealisasi kemerdekaan, Arie pada tanggal 29 September 1945 memimpin pengambil alihan Jawatan Geologi dari tangan Jepang.Arie Frederik Lasut tidak hanya bergerak dalam bidang geologi secara sempit. la masih tetap  memimpin  KRIS   Cabang   Magelang, dan juga menjadi anggota Komite Nasional Indonesia Pusat (KNIP), bahkan ia duduk menjadi anggota ahli pada delegasi Republik Indonesia dalam perundingan Linggarjati."
Martha Christina Tijahahu ,No Sk 012 / TK / 1969,20  Mei  1969,1969,https://direktoratk2krs.kemsos.go.id/admin-pc/assets/img/pahlawan/56.jpg,4 Januari 1800,"Abubu, Nusa Laut, Maluku,Indonesia",2 Januari 1818,"Laut Banda,Maluku, Indonesia",Tidak diketahui,"Pejuang Kemerdekaan yang unik yaitu seorang puteri remaja yang turut dalam pertempuran melawan tentara kolonial Belanda dalam perang Pattimura tahun 1817. Meninggal dalam tahanan Belanda.Martha Christina adalah anak dari Kapiten Paulus Tijahahu orang terpandang di Nusa Laut, Maluku. Para raja, patih, dan kapitan Nusa Laut sejak semula berpendirian tegas, yaitu mengikuti jejak Kapitan Pattimura, yang tidak pernah ketinggalan mempertahankan daerah-daerah lain terhdap serangan Belanda.Martha selalu menemani ayahnya dalam setiap pertempuran, diantaranya perlawanan di Saparua (1817), perlawanan merebut benteng Beverwijk, dan pertempuran di daerah Ulat dan Ouw.Pada 12 November 1817, para pemimpin Nusa laut berhasil disergap. Termasuk di dalamnya Martha Christina dan ayahnya yang makin tua. Setelah ditahan dan diperiksa pada 15 November oleh Laksamana Buyskes, Paulus di vonis human mati, dilaksanakan pada 17 November 1817. Martha sendiri termasuk yang mendapat hukuman untuk dibuang ke Jawa. Martha yang merasa hampa akan keperrgian ayahnya menjadi murung. Ia kemudian dinaikkan ke kapal Eversten, dan meninggal, dan bersemayam disekitar Laut Banda."
Maria Walanda Maramis ,No Sk 012 / TK / 1969,20  Mei  1969,1969,https://direktoratk2krs.kemsos.go.id/admin-pc/assets/img/pahlawan/57.jpg,1 Desember 1872,"Kema, SulawesiUtara",22 April 1924,"Maumbi,Sulawesi Utara","Kalawat, Minahasa Utara","Pendidik   dan   Penggiat   Hak-Hak Perempuan. Sosok pendobrak adat, pejuang kemajuan dan emansipasi perempuan di dunia politik dan pendidikan.Maria lahir dari pasangan suami istri yaitu Maramis dan Sarah Rotinsulu, orang tua Maria kemudian meninggal ketika ia berumur 6 tahun. Maria kecil dan kedua saudarnya diasuh ole paman dan bibinya.Maria adalah seorang yang haus akan pengatahuan, ia sering bertanya-tanya mengapa anak perempuan hanya dibenarkan sekolah sampai Sekolah Dasar saja. Setelah menyelesaikan sekolah para perempuan Minahasa membantu orang tua mereka sampai masanya mereka menikah, begitu pula yang terjadi dengan Maria.Maria kemudian mendirikan organisasi bernama Percintaan Ibu Kepada Anak Temurunannya (PIKAT) pada 8 Juli 1917, dengan tujuan memajukan pendidikan perrempuan Minahasa. Bersama dengan suami, anak, wanita-wanita terkemuka, dan donator organisasi ini. PIKAT mendirikan cabang-cabangnya di Indonesia. Propaganda mengenai cita-cita PIKAT juga dilakukan dengan tulisan-tulisan Maria di surat kabar.Pada 1919 Maria berhasil memperjaungkan kaum perempuan Minahasa mendapatkan hak suara untuk memilih wakil rakyat di Minahasa Raad."
Supeno ,No Sk 039 / TK / 1970,13  Juli  1970,1970,https://direktoratk2krs.kemsos.go.id/admin-pc/assets/img/pahlawan/58.jpg,12 Juni 1916,"Kota Pekalongan, JawaTengah",24 Februari 1949,"Ganter,Ngliman, Sawahan, Nganjuk, Jawa Timur","TMPN Kusuma Negara, Yogyakarta","Pejuang  KemerdekaanDengan berdirinya perkumpulan pemuda berasas kebangsaan Indonesia Muda cabang Tegal pada medio 1932 silam, Supeno ikut terlibat aktif sebagai ketuanya. Supeno terus bergeliat menjadi seorang aktivis yang memperjuangkan kemerdekaan bagi Bangsa IndonesiaSupeno menjadi anggota Persatuan Pelajar Pelajar Indonesia. Ketika Jepang masuk ke Indonesia, Supeno berkenalan dengan Mr Sumarwan, Sujoko Hadipranoto dan Subadio Sastrosatomo, yang berasal dari tokoh Partai Sosialis Indonesia (PSI).Supeno ditunjuk Hatta sebagai menteri pemuda dan pembangunan dalam kabinet tersebut. Setelah Yogyakarta jatuh, Supeno ikut bergerilya dan memberikan perlawanan.Supeno sangat aktif di Partai Sosialis yang didirikan pada tanggal 17 Agustus 1945 yang didirikan Sutan Syahrir.Gugur/meninggal tanggal 24 Februari 1949 saat berperang melawan Belanda pada Agresi Militer Belanda ke 2."
Sultan Ageng Tirtajasa ,No Sk 045 / TK / 1970,01  Agustus  1970,1970,https://direktoratk2krs.kemsos.go.id/admin-pc/assets/img/pahlawan/59.jpg,1631,"Banten, Indonesia",1683,"Penjara Batavia (Jakarta), Indonesia",Serang  -  Banten,"Sultan (Raja/Pemimpin) Kesultanan Banten pada periode 1651 - 1683 yang memimpin perjuangan melawan penjajah Belanda (VOC). Beliau berusaha mewujudkan Banten sebagai kerajaan Islam terbesar, meningkatkan kesejahteraan rakyat dengan membuka sawah- sawah baru dan mengembangkan irigasi. Di bidang keagamaan, beliau mengangkat Syekh Yusuf Al-Makasari (juga Pahlawan Nasional) sebagai mufti kerajaan dan penasehat sultan.Sultan Ageng Tirtayasa berkuasa di Kesultanan Banten pada periode 1651 - 1683. Ia memimpin banyak perlawanan terhadap Belanda. Masa itu, VOC menerapkan perjanjian monopoli perdagangan yang merugikan Kesultanan Banten. Kemudian Tirtayasa menolak perjanjian ini dan menjadikan Banten sebagai pelabuhan terbuka. Saat itu, Sultan Ageng Tirtayasa ingin mewujudkan Banten sebagai kerajaan Islam terbesar.Ia berusaha meningkatkan kesejahteraan rakyat dengan membuka sawah-sawah baru dan mengembangkan irigasi. Di bidang keagamaan, ia mengangkat Syekh Yusuf sebagai mufti kerajaan dan penasehat sultan."
W.R. Supratman ,No Sk 016 / TK / 1970,20  Mei  1970,1970,https://direktoratk2krs.kemsos.go.id/admin-pc/assets/img/pahlawan/60.jpg,9 Maret 1903,"Jatinegara, Jakarta, Indonesia",17 Agustus 1938,"Surabaya,Jawa Timur, Indonesia","Penjeran, Surabaya","W.R. Supratman memulai aktivitas pergerakannya melalui surat kabar. Ia sadar bahwa di dalam persuratkabaran dan pergerakan Indonesia bukan tempat untuk mencari gaji besar. Ia aktif di berbagai surat kabar untuk memberitakan terkait pergerakan nasional Indonesia.W.R. Supratman merasakan gerak dan derap perjuangan Indonesia, yang menginspirasinya menggubah lagu-lagu perjuangan untuk menggairahkan dan semangat orang banyak, khususnya kaum pergerakan.Ia   menciptakan lagu  ”Indonesia  Raya” pada 1924 dan diperdengarkan pada penutupan Kongres Pemuda II, 28 Oktober 1928. Lagu Indonesia Raya diterima  baik oleh masyarakat khususnya dunia pergerakan kebangsaan. Setiap partai-partai politik mengadakan kongres,   lagu Indonesia Raya selalu dinyanyikan. Lagu itu merupakan perwujudan rasa persatuan dan kehendak untuk merdeka.Beberapa kali dipanggil pejabat-pejabat Belanda untuk menjelaskan lagu-lagu yang digubahnya, baik lagi kebangsaan Indonesia Raya, atau pu lagu-lagu perjuangan lainnya.W.R. Supratman dengan semangat tingginya, tidak lagi menghiraukan kesehatannya dalam memperjuangkan bangsanya lewat lagu-lagu gubahannya. Ia wafat pada 17 Agustus 1938 dengan meninggalkan ciptaan- ciptaannya bermutu tinggi."
